,mean_abs_TP,mean_abs_FN_all,mean_abs_FN_high,mean_abs_FN_med,delta_TP_vs_FN_all,delta_TP_vs_FN_high
ngram_om,0.026435921,0.02316568,0.029558761,0.015057382,0.0032702405,-0.00312284
css_num_important,0.040073927,0.043061975,0.043243296,0.042832006,-0.002988048,-0.003169369
log_ad_keyword_count,0.22756748,0.22461216,0.2484685,0.19435532,0.0029553175,-0.020901024
media_type_radio_station,0.026265737,0.023404974,0.024296828,0.022273848,0.0028607622,0.001968909
ext_css_num_ids,0.03797908,0.040802415,0.040651318,0.040994056,-0.0028233342,-0.0026722364
log_ext_css_size_bytes,0.09220082,0.08943167,0.09225592,0.08584971,0.0027691498,-5.5097044e-05
country_other,0.010834615,0.008479181,0.008144597,0.008903531,0.002355434,0.0026900182
log_word_count,0.040646944,0.038311824,0.037702642,0.03908444,0.00233512,0.0029443018
trust_deception_ratio,0.065507054,0.06333232,0.055452053,0.07332681,0.002174735,0.010055002
log_ext_css_num_classes,0.03398142,0.0319409,0.028822731,0.035895646,0.0020405203,0.005158689
ratio_headings_per_paragraph,0.05354382,0.05153219,0.053022727,0.049641766,0.0020116307,0.0005210936
ngram_org,0.01587703,0.01425302,0.0121351825,0.016939053,0.0016240105,0.0037418483
css_num_css_variables,0.15445787,0.15300024,0.1691888,0.13246842,0.0014576316,-0.01473093
has_privacy_policy_link,0.038218446,0.036781568,0.034790814,0.039306417,0.001436878,0.0034276322
num_headings,0.07925747,0.07792363,0.084248625,0.06990169,0.0013338402,-0.0049911514
ext_css_num_selectors,0.058396697,0.057253454,0.058794957,0.05529837,0.0011432432,-0.0003982596
country_uk,0.0019076149,0.003041518,0.0035457748,0.0024019743,-0.001133903,-0.00163816
log_num_spans,0.10337488,0.10444194,0.1007892,0.10907466,-0.0010670573,0.0025856867
css_has_flexbox,0.015527957,0.01447897,0.012646456,0.016803129,0.0010489868,0.0028815009
interact_clickbait_x_low_text,0.043424014,0.04258196,0.044796195,0.039773665,0.00084205344,-0.0013721809
ext_css_has_position_absolute,0.006576683,0.0073441286,0.0075375503,0.007098813,-0.00076744566,-0.0009608674
ngram_net,0.03055772,0.031286925,0.03879333,0.021766607,-0.0007292051,-0.008235609
ngram_rg,0.0076009245,0.007080538,0.009366904,0.004180758,0.00052038627,-0.0017659799
deception_score,0.07214717,0.07178475,0.08104574,0.060039125,0.0003624186,-0.008898571
css_has_reset,0.0140163405,0.014126886,0.012385936,0.016334921,-0.000110545196,0.001630404
ngram_tio,0.005995317,0.006102617,0.0049123415,0.0076122372,-0.0001073,0.0010829754
country_canada,0.05240388,0.05234256,0.077345654,0.020631313,6.131828e-05,-0.024941776
ngram_trib,0.0007399775,0.00075332157,0.00075269403,0.00075411727,-1.3344048e-05,-1.2716511e-05
country_israel,0.0,0.0,0.0,0.0,0.0,0.0
country_turkey,0.0,0.0,0.0,0.0,0.0,0.0
country_india,0.0,0.0,0.0,0.0,0.0,0.0
ngram_mes,0.0,0.0,0.0,0.0,0.0,0.0
ngram_free,0.0,0.0,0.0,0.0,0.0,0.0
